Name,Comment,Time,Likes,Reply Count
Manoj Kumar,"Just 40m views in one month, that too world wide. Expected more.",2022-12-05T18:37:32Z,1,0
Stardust,"I was 10 when Avatar 1 came out, I remember seeing the trailer for the first time and being excited about it and now after so many years at 23 Years old finally the second season will be out i will definitely be WATCHING it",2022-12-05T18:20:33Z,0,1
Kobi Brown,I’m kinda mad at myself because I didn’t watch avatar 1 until today lol it wasn’t what I expected it to be and it was a great movie overall. Don’t judge a book by its cover as some would say. Can’t wait to see this movie,2022-12-05T17:47:59Z,0,0
SYD🦋🦋,Definitely going to the movies🫶🏾❤️,2022-12-05T16:57:25Z,2,0
Barek Obaba,dis gon suck,2022-12-05T15:54:26Z,0,1
Nubie Bob,Now 75% less testosterone.. and 80% more dreadlocks,2022-12-05T15:50:28Z,1,0
GK PRAMOD REDDY,Jai Sudheer anna,2022-12-05T15:32:28Z,0,0
T-AD,PREND GARDE,2022-12-05T15:02:02Z,1,0
jenniferbuckle1,"Gave me the shivers for too many reasons - the spirit that is water and the Pandora's Box that has been opened, perhaps for the last time. Struggling to keep faith alive in me but I will not give up the struggle.",2022-12-05T14:29:11Z,1,0
"Ben Quinney, III",Hidden solutions,2022-12-05T12:26:10Z,0,0
Family Adventure Days,Only thing annoying about this trailer is it pretty much says one of their kids dies in that scene near the end where he's telling her to be strong..,2022-12-05T12:08:03Z,0,0
Ganesh0007,Jai sudhir anna,2022-12-05T11:12:25Z,1,0
Antaripa Saikia,Eagerly waiting......10 more days...💙,2022-12-05T10:57:25Z,0,0
Aman Rawat,25000 cr+   vali  movie,2022-12-05T10:21:33Z,0,0
Mukesh kumar Shende,"Fadegi movie कब से इंतज़ार था,इस moovie का",2022-12-05T09:31:09Z,0,0
Rowan Haynes,If humans not win in this movie I'm going to have to wait for the third one,2022-12-05T09:19:48Z,0,0
Andrew Mitchell,Is it just me or are the dreds kinda out of place. They weren’t really a thing in the first one,2022-12-05T09:09:43Z,0,1
Shiva Prasad,Jai sudeer Anna ✊✊,2022-12-05T08:56:29Z,1,0
Bob Silverwind,"Truly a dissapoin ting serving of cautionary directing. Instead of boldly going FULL into the character and immersion of the beautiful world of pandora and presenting the ENTIRE film in native NA'VI. The director  cowardly made the whole trailer in english. If this thing isnt in full Na'vi, Its just not worth seeing, You're missing out on the culture and unique aspects of the people, the grammar and the synthaxes created by the previous film and additional material.<br><br>Boring.",2022-12-05T07:43:44Z,0,0
T&J all in one channel,Jai sudheer anna♥️♥️,2022-12-05T07:04:12Z,0,0
setiop,How reality and animation in a single shot mixed together for a movie is worth watching in theaters.,2022-12-05T06:20:19Z,1,1
boogerboss,pocahontas 2: This time with more water,2022-12-05T05:57:29Z,2,0
Rost Onee,The best CGI !!!!!,2022-12-05T04:11:40Z,1,0
Alex Alex alex,"This’ll tank😅<br>It’s literally the first movie again (minus the actual human cast, and hype over 3D spectacles)",2022-12-05T02:29:08Z,0,0
Photo Account,The main chick dies. The trailer is pretty obvious about it,2022-12-05T02:09:27Z,0,0
alex is hurt ado,)  :   This looks so STUNNINGLY UGLY  :  (,2022-12-05T01:33:36Z,1,3
Jordan Ruiz S-A-F,I cannot wait to ask her out to see this movie,2022-12-05T01:32:15Z,0,0
G M X,Is this movie woke?,2022-12-05T01:19:49Z,4,2
K M,"I always joked that I wouldn't make it to see Avatar 2 I would be dead before then, 3 weeks away!<br><br>To Haters that just don't get it.. I see you.",2022-12-05T00:48:38Z,1,1
sforti01,Yawn.,2022-12-04T23:18:46Z,1,0
Player 51,POV: you finished subnautica,2022-12-04T20:39:53Z,0,0
yash,the weeknd,2022-12-04T20:27:20Z,0,0
Tommy,"James Cameron is about to remind you mfs what he does, Id take a new movie of this magnitude every 4 years if it meant being this level of quality.",2022-12-04T20:13:49Z,0,0
azmeera Yakoob,Telangana sudeer anna ki jai,2022-12-04T20:06:12Z,0,0
azmeera Yakoob,Jai sudeer anna,2022-12-04T20:05:46Z,0,0
Der Kätzer,💙💙💙,2022-12-04T19:34:32Z,0,0
Gorem,So this is the water physics he needed to wait all these years to achieve,2022-12-04T19:12:33Z,0,0
Abhisician,He is the only director left in Hollywood who is able to balance emotions and action so well ....people gonna watch it atleast twice ...,2022-12-04T18:43:34Z,0,0
Sarpreet Singh,I hAVE  DOWNLOAD LINK............,2022-12-04T18:04:03Z,0,0
Brad oley,James Cameron literally copied the story of the Gorgonites from the small soldiers movie and just made them blue.,2022-12-04T18:01:47Z,0,1
Manoj Kumar,Jai sudheer Anna,2022-12-04T17:28:11Z,0,0
Rakesh kalvakuntla,Jai sudheer anna fans from mars,2022-12-04T16:09:52Z,0,0
Harishankar Lal,Avatharam🙏,2022-12-04T15:47:01Z,0,0
All in one,Im from India karnataka kodagu madikeri,2022-12-04T15:38:21Z,0,0
The South American.,This better be 3 hours,2022-12-04T15:12:13Z,0,1
Vann Apragal,"Dudeeeeeee, if I want to watch animation, I will watch Beavis and Butthead or King of the hill. I don't need to sit in 25D Imax to the 10th power theater. 🤣🤣🤣",2022-12-04T15:03:57Z,1,1
Ratna Rara,Beautifull,2022-12-04T14:51:36Z,0,0
3SpikeyblueShells,The CGI is good once again I'm excited for this.,2022-12-04T14:21:38Z,1,0
movie shop,OVERRATED,2022-12-04T14:09:29Z,0,0
Vann Apragal,"FLOPPPPPP, No doubt about it. $2 Billion to break even. 🤣🤣🤣🤣🤣🤣🤣",2022-12-04T13:59:44Z,1,6
L.NAVEEN RDF,Jai Sudheer anna 🔥💥💥,2022-12-04T13:46:40Z,0,0
Nagi Rock,Jai sudheer anna,2022-12-04T13:19:00Z,0,0
bhaskar palla,Jai Sudheer,2022-12-04T12:53:49Z,0,0
Noureddine Misaoui,please let this be as good as I want it to be.,2022-12-04T12:34:13Z,1,0
Noureddine Misaoui,love it,2022-12-04T12:32:29Z,0,0
Naveen,Jai 🔥🔥🔥 Sudheer 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2022-12-04T12:18:54Z,0,0
Naveen,Galodu movie (Hit) kavalani korukunttuna......jai (Sudheer).... Âññâ,2022-12-04T12:17:58Z,0,0
Galactic Hyena X-Men,In my opinion this is one of the most majestic videos on YouTube.,2022-12-04T11:45:22Z,1,0
Roger Gaming,Very much excited to explore this world 🙂🙂🙂,2022-12-04T10:50:59Z,0,0
THE DEMIGODZ,Waited for this more than 12 years.  ❤❤❤❤,2022-12-04T10:36:02Z,3,0
ALG,13 years in the making.<br>13 years too long.,2022-12-04T09:21:37Z,0,0
Evan Michael Hardin,By the time this series is done James  Cameron will be the GOAT.,2022-12-04T09:16:02Z,0,0
cornball gaming,mid,2022-12-04T09:12:21Z,0,0
fozzilla123,Purge the Xenos filth. For The Emperor!,2022-12-04T08:18:44Z,0,1
Amresh sahu,I really love this 💕,2022-12-04T06:55:51Z,0,0
Disguised Centennial,Lol,2022-12-04T06:44:50Z,0,0
sunil. G,Jai... Balayya🦁,2022-12-04T06:07:11Z,0,0
raja sekhar,Jai sudheer anna,2022-12-04T04:38:15Z,0,0
criminal hearted boy,Jai sudheer anna💥,2022-12-04T04:32:11Z,0,0
criminal hearted boy,Kinda meedha upu sudheer anna thopu💥,2022-12-04T04:31:57Z,0,0
Tharun yadav 7799,Jai sudheer anna,2022-12-04T04:26:33Z,0,0
DerpDealers,"Please for the love of God, James Cameron tweeted that he made this about not being toxit with masculine traits.  Now I'm not going to see it upon release.  Now I'm waiting for what others say.",2022-12-04T03:42:44Z,1,0
josesito lopez,I just bought my tickets 12 days before the day of the premiere,2022-12-04T01:23:20Z,1,0
Matthew Sanger,"The music at <a href=""https://www.youtube.com/watch?v=d9MyW72ELq0&amp;t=1m36s"">1:36</a> is so breath taking it is the one reason I want to see the movie",2022-12-04T00:04:37Z,2,0
TIMCOWBOY1971,I can’t wait to see this movie 🎥,2022-12-03T23:45:26Z,1,0
YOLOOOOOOO,bro i watch the first movie as soon as it came out im rlly happy that pt 2 is finally coming :DD,2022-12-03T17:47:28Z,0,0
Sullen Tamp,"No chance I watch this hype piece, first one was a “visual masterpiece” with no soul, same here I fear",2022-12-03T16:18:40Z,0,0
Beomiee,Avatar has been my favourite film since i saw it for the first time when i was small i cant wait to watch the way of water!,2022-12-03T15:54:07Z,0,0
Dig Had,Damn the memories,2022-12-03T13:39:15Z,0,0
Daniel Li,All new movie was released on the year 2022,2022-12-03T13:29:26Z,0,0
Alex Laborich,"We’ll see. But what I already see now is that it’s rather a cartoon, not a movie. A computer graphics predominates and the picture looks very artificial. Obviously, they have also decided to make a water film because a computer graphics looks more natural in water and it’s easier to do. The conclusion is that the budget is obviously very low.",2022-12-03T13:27:09Z,0,2
Munawwar shaikh,owsom ghraphics,2022-12-03T13:13:49Z,0,0
TRG,oh i see his daughter is the one that make a catalyst to connect with there God eywa? well what i can see on the trailer that kid have a connection with Eywa and probably can control them,2022-12-03T12:28:42Z,0,0
MySeries,Jai Sudheer Annaa.....,2022-12-03T10:09:22Z,0,0
Drunken Citizen,Watched the first movie when I was 14 and got bullied in high school. I'm a dentist at 25 now and can't wait to have an unforgettable cinema experience in december!,2022-12-03T10:06:34Z,2,0
Schwayze Johnson,No black representation . Need to cancel it,2022-12-03T09:04:49Z,3,1
Ragnar Nyhuis,"Honestly, Idk if I even want to watch this.. My problem is: where is the human main character one can identivy with? I mean, Pandora is pretty awesome and the NA‘vI must be protected, but I would never want to change my human appearance for a NA‘vI body so there is not a single character to identify with.. can you relate?",2022-12-03T07:38:40Z,0,0
Jet Lag,props to James Cameron and the rest of the crew for actually going to Pandora and filming the indegineous people,2022-12-03T06:41:37Z,1,2
Louis Long,"Have had enough of CGI, franchise films. When can we have some original stories production, all I miss are  great scripts and casts for theater.",2022-12-03T06:41:06Z,4,1
michael gale,"Oh my goodness!!! I’m so excited, but tell me why I feel like his daughter is able to feel Grace through eywa! If just so excited, I still watch the first avatar at once a month!",2022-12-03T06:08:53Z,1,0
Venkey Venkatesh,Jai sudher,2022-12-03T06:08:46Z,1,0
"Ben Quinney, III",The correct procedure,2022-12-03T05:59:03Z,0,0
Razor Ahai,Go Humans!!!🏴‍☠️🏴‍☠️🏴‍☠️,2022-12-03T05:25:52Z,0,0
Danna Terrazas,Ya compre entradas para ir a verla 5 veces ❤<br>Modo fan activado,2022-12-03T04:36:18Z,1,1
Tse Nam,Insiders reports r simply earthshaking💓💓💓,2022-12-03T03:49:35Z,1,0
Bellam konda Paramesh,"Wherever we go, this Society is our Property..",2022-12-03T03:42:39Z,0,0
GJM,"Reject humanity, embrace the blue coochies",2022-12-03T03:27:19Z,1,0
CallofDoobie,"Less insecticide, less herbicide, less water pollution, less plastic, less synthetic chemicals, less microfibers, less",2022-12-03T01:33:28Z,0,0
Waqas,This reminds me of my beautiful jamaica for some reason.,2022-12-03T00:59:11Z,0,0
Kyle Saylors,"Did everyone watch the same video game trailer as it looks like that I saw lol😂Fx nice, just 15 years too late",2022-12-02T23:57:46Z,0,1
Kiran Kishor,Jai sudheer anna,2022-12-02T23:52:15Z,0,0
Anime_theatre_lover4321,I saw the original Avatar film for the first time today and it was beautiful. I can’t wait to see this,2022-12-02T23:49:31Z,0,0
ThatMightBeCorrect,This movie is gonna be 3 hours and 12 minutes. Avengers Endgame has 3 hours and 1 minute. NOW THIS IS GONNA BE A GOOD MOVIE!,2022-12-02T23:38:24Z,0,0
Fadez,they made a movie about the people in black panther 2?,2022-12-02T23:09:56Z,0,0
Vipin Bliz,I watched Avatar 1 with my dad... 😢 he is no more to watch the 2nd part with me.... Miss you dad...,2022-12-02T20:59:25Z,2,0
Audioescenas,Avatar or how to trick old people into watching an animated movie,2022-12-02T20:59:14Z,0,2
Mounika Gaddam,"2009, Dec 18th - I watched Avatar on my 17th birthday with my parents on sitting either side with me.<br>This year my birthday recreation coming 2 days ahead but this time it’s with my husband and kid along with parents. <br>Avatar isn’t a movie , it’s an unforgettable memory",2022-12-02T19:45:53Z,1,0
Merlita Domingo,I have watched the first one 3 x now this is the second one I can’t wait to see we all waited for this day to come ty director Cameron for doing it ur d boss of all avatars ty so much merlita,2022-12-02T19:30:50Z,0,0
Mohit kashyap,"Hollywood's VFX and CGI look just like real as if this place and characters are real, I wish Indian movies would have such VFX and CGI just like Hollywood is able to make today.",2022-12-02T19:16:35Z,0,0
Thomas Pickard,So basically it’s the exact film but they swapped land for water 😂 look great thou 🤙🏻,2022-12-02T19:13:20Z,2,1
ARAVIND SINGER,Jai sudheer anna 🔥🔥🔥🙏🙏🙏,2022-12-02T17:50:02Z,0,0
DnG,"Man between <a href=""https://www.youtube.com/watch?v=d9MyW72ELq0&amp;t=1m36s"">1:36</a>-<a href=""https://www.youtube.com/watch?v=d9MyW72ELq0&amp;t=1m55s"">1:55</a> that music is Godly, goosebumps every time. 🌊",2022-12-02T17:45:31Z,0,0
Shoaib Zafar,The future of fimaking 😱,2022-12-02T17:24:07Z,0,0
bill7bill1,400m worth of 95% cgi.Its not a movie.Its a hi-end cartoon.,2022-12-02T17:15:15Z,2,1
Rob,Where has Papyrus gone?,2022-12-02T17:10:23Z,1,0
Эдуард Vip,"James Cameron who wouldn't say anything and this movie will collect $ 1 billion!!!!!! He is the creator of such a movie that not everyone can still make! The best computer graphics, a powerful script, an amazing world of colors, special effects!!! This brain rupture must be seen for yourself!!!! A bomb in the outgoing year. And a guide for aspiring directors!",2022-12-02T17:00:57Z,0,0
Dan C,Lmao I was watching college football with my dad when the commercial for this game on. He went on a 10 minute tirade on how fake movies are now.,2022-12-02T16:59:28Z,0,1
Sachin Walunj,"The most awaiting movie sequence, 13 years &amp; its going to break all records worldwide.",2022-12-02T16:54:29Z,0,0
Siddu_model_zz,Jai sudheer anna,2022-12-02T16:46:09Z,0,0
Dead Devil@96,Jai sudheer anna ☺️,2022-12-02T16:14:46Z,0,0
koti nannu,Anna heyiiii... Sudheer anna,2022-12-02T15:52:53Z,1,0
Rebec Lamz,Can't wait to watch .......,2022-12-02T15:48:52Z,1,0
Celia Hardwick,"I loved the original Avatar's the way the were. I don't like the new ones. So I won't be seeing this one, although I've waited for 14 years for sequel. Disappointed.😏",2022-12-02T15:37:36Z,1,0
Abishek Rauthar,"The only thing I learnt &amp; liked from this entire trailer, BLUE B😍😍BIES",2022-12-02T14:27:52Z,0,0
Den Key,Traitor Jake Sully seems not to get his punishment even in this movie,2022-12-02T14:03:44Z,3,0
Zeeshan Khan,"waiting since last 13 years for the 2nd part of this movie, finally it is about to come ❤️",2022-12-02T13:48:14Z,0,0
Praveen Nani,Jaii Sudheer Anna...Rashmi  vadhina......,2022-12-02T13:32:26Z,0,0
Lale Quluzade,biz yakında bunu izlemeye gidicez 👍👍👍👍,2022-12-02T12:37:05Z,0,0
PUNJU ARMY,Jai Sudheer anna,2022-12-02T12:32:09Z,0,0
sk blu,i cringed so bad,2022-12-02T12:28:03Z,1,3
Galactic Hyena X-Men,"This trailer was released exactly one month ago, but it's just turns hotter! Can't wait for the movie. :))",2022-12-02T12:23:22Z,4,0
S B,Please be good please be good please be goooooood,2022-12-02T12:05:27Z,0,0
Rohit Rajput,It's going to be a flop .The movie will be burried under huge expectations.from trailer it seems nothing extraordinary quite similar to Avatar1.Btw let's hope for the best,2022-12-02T11:17:16Z,0,0
Chandan Chandan,Jai sudheer anna,2022-12-02T11:12:20Z,0,0
Chandan Chandan,Jai balayya,2022-12-02T11:12:10Z,1,0
MR.MELODY,Avatar is viewed becos of different graphical animals but not about its content,2022-12-02T08:34:51Z,1,0
MR.MELODY,Jai Sudheer Anna😂🤣,2022-12-02T08:32:47Z,1,0
Darío Burgos,Really? I thought this was a joke; especially when Titanic references weren't stopping to popping out.,2022-12-02T06:35:53Z,1,0
Arjun,Jai sudhaar anna,2022-12-02T06:18:52Z,1,0
Asher Diament,I KNOW WHAT YOU DID!!!,2022-12-02T05:51:55Z,1,0
Michelle Ware,Can't wait for this to be released!!,2022-12-02T05:49:10Z,0,0
Aman Rawat,Time is  now<br><br>Recreate  Avatar cinematic Experience,2022-12-02T05:33:16Z,0,0
Charles Owen,I'd rather rewatch T1 any day of the week,2022-12-02T05:02:24Z,0,0
angie a. 💌,😍😍😍,2022-12-02T04:47:37Z,0,0
Xayaplz,His daughter fine asl,2022-12-02T03:09:43Z,0,0
3050cheo,Hard pass on this garbage,2022-12-02T03:07:29Z,0,1
gandy74,"Somebody downthread mentioned something about James Cameron talking about excess testosterone combined with adrenaline and how it made him overly aggressive and reckless when he was young but now he's mellowed.  I'm sure he was a major asshole but IMO, it's that alpha male &quot;king of the world&quot; aggression and having something to prove that make his earlier movies so incredibly compelling and memorable. Cameron has lost his fire, drive and intensity. Same thing happens to a lot of artists who are now a shadow of their former greatness. Regarding this movie, if I want to see a big screen cartoon with anthopomorphic feline creatures I'll download &quot; The Aristocats&quot;.",2022-12-02T02:40:10Z,0,1
Arshaka Virendra,I can't wait for this film,2022-12-01T23:45:03Z,0,0
Adam Bednarski,"OOO  nowy avatar , to jest too",2022-12-01T22:50:25Z,0,0
Lucas Figgy,Years laters....flop!!,2022-12-01T22:02:29Z,0,2
Bruce Wayne,"I really hope at the final end, the humans win and wipe the avatars out, that would be a cool surprise",2022-12-01T21:43:09Z,0,1
CommonLogic,looks like a friking anime,2022-12-01T20:05:29Z,1,2
Samantha Brown,From me growing up watching Avatar this made me cry this is so beautiful I can’t wait for December 15!,2022-12-01T19:47:44Z,0,0
ARTIE CHAVEZ JR.,I love Avatar….very colorful &amp; a stand out movie.,2022-12-01T19:30:33Z,1,0
Lekha Sree,Jai sudeer Anna tollywood hero,2022-12-01T17:57:04Z,1,0
Ram Murthy,Avathar 3 take heros from Telugu actors like  ramcharan are ntr - Mahesh Babu,2022-12-01T17:42:46Z,0,0
Galactic Hyena X-Men,This month... almost here. :-),2022-12-01T17:23:05Z,2,0
Raider87,"The movie looks like shit. Too long if a wait. The first one is super overrated to begin with, and now Cameron wants to start crapping on the fans that enabled him to be where he is now in life? No thanks. Hope this movie tanks. Hope Disney goes to hell with their fake woke nonsense. I'm out.",2022-12-01T16:46:32Z,3,1
Fanil np,🔥wait it,2022-12-01T16:43:46Z,1,0
Brandon0294,Not watching this garbage since it’s going to be another woke hating men shitty movie,2022-12-01T16:43:34Z,2,2
Jamal Ponnani,is it Cartoon movie,2022-12-01T16:05:55Z,2,0
Ben Phillips,The first movie attracted a lot of people because they wanted to see the cool mech suit in action. This trailer really seemed to focus on the cat people who were meh.. in the original. The graphics really don't look any better. As long as they blow up more giant tree's and kill more annoying cat people I'll watch it.,2022-12-01T15:54:31Z,0,0
arati shooting,i am youtubar My Chennai is helpful,2022-12-01T15:32:11Z,0,0
G. Singh,Sorry endgame <br>You’ve lost on December 16,2022-12-01T15:08:13Z,0,4
Laksh Amar,Wow it's amazing,2022-12-01T13:52:39Z,2,0
soe min1991,My favorite movie 🤩🤩 can't wait for watching !!!,2022-12-01T13:23:46Z,2,0
bhig3,"Unfortunately, this looks very lame 😔",2022-12-01T13:21:31Z,1,0
Fernando López,"Probably the biggest exercise in cynicism ever. If they cared so much, they should give the land back to the indians and pay reparations for centuries of abuse and murder. At least the pope asked for forgiveness in Canada.",2022-12-01T12:55:18Z,0,0
Uppu Ajay,Jai sudheer anna 🥰,2022-12-01T12:35:19Z,0,1
Eduar Ortiz,This is AMAZING 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2022-12-01T12:34:35Z,1,0
JORDAN STONE,Looks boring.,2022-12-01T11:50:15Z,1,0
Shannu Crazy,Jai sudigali sudheer💖 🥰😘,2022-12-01T11:42:34Z,0,0
OMG Gaming,Jai sudeer anna ✊,2022-12-01T11:31:26Z,1,0
George Thomas,unabsorbium as parenchyda,2022-12-01T11:21:32Z,0,0
Michsan Iwari,"Cant blv it has a sequel, Avatar is the first movie i see on theater when iam 12yrs old. Thank you to all people to make this movie happen",2022-12-01T10:41:24Z,0,0
Jack Brady,DreamTime*,2022-12-01T08:40:42Z,0,0
brambob,Looks  🗑. 😞,2022-12-01T07:18:35Z,0,0
Alone,Wonderful,2022-12-01T07:14:56Z,2,0
Mujib,"Like Titanic BGM  <a href=""https://www.youtube.com/watch?v=d9MyW72ELq0&amp;t=0m08s"">0:08</a> to <a href=""https://www.youtube.com/watch?v=d9MyW72ELq0&amp;t=0m15s"">0:15</a>..!",2022-12-01T05:02:03Z,0,0
Shivaram Sai,Not Avatar.. it's Awater💧.... 👌💖 ....,2022-12-01T03:58:38Z,0,0
DMA official,😍😍😍😍😍 After a long time ago I'm so excited,2022-12-01T03:45:33Z,0,0
Mechanical vibes,BGM Visuals top notch,2022-12-01T01:49:24Z,0,0
Anime Remaster Highest Quality ever,avatar is the best movie in the world period,2022-12-01T01:48:40Z,4,0
The Social Reject,Looks awesome but why are they speaking English and not Navi?,2022-12-01T01:28:44Z,1,2
Kale Jenson,Why do people care. This is the most mid shit ever. Same with the first one. That's a mid ass movie. it's not record breaking cool. This is a basic ass movie,2022-12-01T01:26:30Z,1,1
Vishnu R,Avatar Fans india helo,2022-12-01T01:21:10Z,1,0
Enrique Romero,Bro this makes me feel so much good energy idk if it’s right lol,2022-12-01T00:30:28Z,0,0
Manny I.T.,They’re going to lose,2022-11-30T22:13:30Z,0,0
Tim Parker,The first one was a forgettable snoozefest.,2022-11-30T21:47:47Z,0,1
Shorteology ,Let's see how many legends are waiting for this masterpiece 🔥🥵.<br><br>And ♥️ for bgm,2022-11-30T20:14:08Z,0,0
flightjam,There really was no need for  a second movie,2022-11-30T20:08:09Z,0,11
micchib,Cant wait to feel depressed again! 👍,2022-11-30T20:07:21Z,0,0
Ankush Shil,Ticket booked in Imax 3d,2022-11-30T19:20:16Z,2,0
Дмитрий Фролов,Круто,2022-11-30T19:19:38Z,1,0
Capsy Dash,Something that I noticed is that they are not speaking the na'vi language. I wonder if they removed it.,2022-11-30T19:10:55Z,0,1
Venkatesh Edits,East or West Sudheer is Best,2022-11-30T18:31:13Z,1,0
Iam Prasad,Love you,2022-11-30T18:03:51Z,1,0
Royal Ramesh,Sudheer anna king,2022-11-30T17:40:12Z,1,0
Royal Ramesh,Jai sudheer,2022-11-30T17:39:59Z,2,0
max m,Avatar: The Way of Wokeism,2022-11-30T17:36:55Z,0,1
🍀NANDY-MAN🍀,It's gonna be epic,2022-11-30T17:36:20Z,0,0
Kishore 9346,Sudheer anna fans like vesukondi,2022-11-30T17:13:38Z,2,0
Kishore 9346,Jai sudheer anna,2022-11-30T17:13:24Z,3,0
Jonathan Pinto,oh dude i am crying.. cant wait to see it,2022-11-30T16:50:51Z,0,0
Triggered Insaan',Cant wait,2022-11-30T16:48:49Z,0,0
Bharath Asaithambi,Waiting... By Indian james Cameron fans',2022-11-30T16:40:20Z,0,0
